	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	first.1	first.2	a10	A10	a11	A11	a12	A12	a13	A13	a14
1	M51T152	1.241168397	-1.673405316	0.099239252	51.35343787	51.35337325	51.35350115	152.2365	137.918	160.441	146	117	25	570713.1532	4347.127038	560074.5148	4840.613221	854800.4433	2343.428667	703760.2089	6914.243295	456681.3107
2	M51T153	1.193127918	-1.489666077	0.141314495	51.42690489	51.42685276	51.42696509	153.273	138.604	162.272	119	100	19	361794.0426	4365.151908	271537.033	4862.438356	899040.6937	2348.374292	447380.5482	8118.968518	325552.854
3	M53T151	1.166904438	-1.299093441	0.198950266	52.91495575	52.91488473	52.91501772	150.732	137.918	160.441	141	113	22	400072.0642	4448.913543	278229.5815	5756.65891	464629.3486	6227.104031	500159.2548	12518.08678	326875.2562
4	M57T649	1.108330873	1.195680901	0.237906168	57.06941328	57.06934271	57.06949634	648.551	642.988	658.037	218	179	39	1413702.462	1961060.359	1290639.429	2500396.162	982571.3185	2461204.726	980099.9969	1880946.049	1196074.193
5	M60T840	1.066681432	-1.390897505	0.169561063	60.08041634	60.08035949	60.08051214	840.4565	831.221	850.265	176	147	29	1825921.357	917867.7933	1744369.165	950257.3669	1862694.288	991622.5706	1687405.806	864240.8808	1633166.001
6	M61T119	1.112776182	0.914269048	0.364255004	61.03923813	61.03915774	61.0393208	118.604	115.47	127.835	151	122	27	1392255.25	3239883.128	497342.8758	5892969.904	688148.0708	2573669.472	425754.105	1143783.076	685616.9853
7	M69T96	1.015449243	-0.541488292	0.590337224	68.98189862	68.98181307	68.98198699	95.818	91.976	101.6784	217	178	39	404629.443	377138.1097	396159.1927	427767.225	433370.7344	452962.6122	425152.8458	554054.8462	396917.2158
8	M71T96	1.070939777	2.114521781	0.038359661	70.98014865	70.98006309	70.98021779	95.95715	91.976	102.3027	216	177	39	879366.5207	1002531.369	989364.4228	978941.7602	847811.6451	642732.9927	785038.3327	656480.6982	1032361.673
9	M72T126	1.063532339	1.027001743	0.308301167	72.08036747	72.08028015	72.08048673	125.631	122.625	139.519	215	174	39	1736700.906	4226107.776	3281239.818	5416660.184	2173485.684	3753899.916	2334150.696	3145311.374	2549874.439
