sample,batch,class,order
batch01_QC01,1,NA,1
batch01_QC02,1,NA,2
batch01_QC03,1,NA,3
batch01_C05,1,1,4
batch01_S07,1,2,5
batch01_C10,1,1,6
batch01_QC04,1,NA,7
batch01_S01,1,2,8
batch01_C03,1,1,9
batch01_S05,1,2,10
batch01_C07,1,1,11
batch01_S06,1,2,12
batch01_QC05,1,NA,13
batch01_C08,1,1,14
batch01_C06,1,1,15
batch01_S02,1,2,16
batch01_S09,1,2,17
batch01_QC06,1,NA,18
batch01_S04,1,2,19
batch01_C04,1,1,20
batch01_S10,1,2,21
batch01_C09,1,1,22
batch01_QC07,1,NA,23
batch02_C05,1,1,24
batch02_S03,1,2,25
batch02_S07,1,2,26
batch02_C01,1,1,27
batch02_C10,1,1,28
batch02_QC08,1,NA,29
batch02_S01,1,2,30
batch02_C03,1,1,31
batch02_S05,1,2,32
batch02_C07,1,1,33
batch02_S06,1,2,34
batch02_QC09,1,NA,35
batch02_C08,1,1,36
batch02_C06,1,1,37
batch02_S02,1,2,38
batch02_S09,1,2,39
batch02_C02,1,1,40
batch02_QC10,1,NA,41
batch02_S04,1,2,42
batch02_S08,1,2,43
batch02_C04,1,1,44
batch02_S10,1,2,45
batch02_C09,1,1,46
batch02_QC11,1,NA,47
batch03_C05,1,1,48
batch03_S03,1,2,49
batch03_S07,1,2,50
batch03_C01,1,1,51
batch03_C10,1,1,52
batch03_QC12,1,NA,53
batch03_S01,1,2,54
batch03_C03,1,1,55
batch03_S05,1,2,56
batch03_C07,1,1,57
batch03_S06,1,2,58
batch03_QC13,1,NA,59
batch03_C08,1,1,60
batch03_C06,1,1,61
batch03_S02,1,2,62
batch03_S09,1,2,63
batch03_C02,1,1,64
batch03_QC14,1,NA,65
batch03_S04,1,2,66
batch03_S08,1,2,67
batch03_C04,1,1,68
batch03_S10,1,2,69
batch03_C09,1,1,70
batch03_QC15,1,NA,71
batch04_C05,1,1,72
batch04_S03,1,2,73
batch04_S07,1,2,74
batch04_C01,1,1,75
batch04_QC16,1,NA,76
batch04_S01,1,2,77
batch04_S05,1,2,78
batch04_C07,1,1,79
batch04_S06,1,2,80
batch04_QC17,1,NA,81
batch04_C08,1,1,82
batch04_C06,1,1,83
batch04_S02,1,2,84
batch04_S09,1,2,85
batch04_C02,1,1,86
batch04_QC18,1,NA,87
batch04_S08,1,2,88
batch04_C04,1,1,89
batch04_S10,1,2,90
batch04_QC19,1,NA,91
batch05_QC20,2,NA,92
batch05_S03,2,2,93
batch05_S07,2,2,94
batch05_C01,2,1,95
batch05_C10,2,1,96
batch05_QC21,2,NA,97
batch05_S01,2,2,98
batch05_C03,2,1,99
batch05_C07,2,1,100
batch05_QC22,2,NA,101
batch05_C06,2,1,102
batch05_C02,2,1,103
batch05_QC23,2,NA,104
batch05_S04,2,2,105
batch05_S08,2,2,106
batch05_C04,2,1,107
batch05_QC24,2,NA,108
batch06_QC25,3,NA,109
batch06_S03,3,2,110
batch06_C10,3,1,111
batch06_QC26,3,NA,112
batch06_S01,3,2,113
batch06_C03,3,1,114
batch06_S05,3,2,115
batch06_C07,3,1,116
batch06_S06,3,2,117
batch06_QC27,3,NA,118
batch06_C08,3,1,119
batch06_C06,3,1,120
batch06_S02,3,2,121
batch06_C02,3,1,122
batch06_QC28,3,NA,123
batch06_S04,3,2,124
batch06_S08,3,2,125
batch06_C04,3,1,126
batch06_C09,3,1,127
batch06_QC29,3,NA,128
batch07_QC30,4,NA,129
batch07_C05,4,1,130
batch07_S03,4,2,131
batch07_S07,4,2,132
batch07_C01,4,1,133
batch07_C10,4,1,134
batch07_QC31,4,NA,135
batch07_C03,4,1,136
batch07_S05,4,2,137
batch07_C07,4,1,138
batch07_S06,4,2,139
batch07_QC32,4,NA,140
batch07_C08,4,1,141
batch07_S02,4,2,142
batch07_S09,4,2,143
batch07_C02,4,1,144
batch07_QC33,4,NA,145
batch07_S04,4,2,146
batch07_S08,4,2,147
batch07_S10,4,2,148
batch07_C09,4,1,149
batch07_QC34,4,NA,150
batch08_C05,4,1,151
batch08_S03,4,2,152
batch08_S07,4,2,153
batch08_C01,4,1,154
batch08_C10,4,1,155
batch08_QC36,4,NA,156
batch08_S01,4,2,157
batch08_C03,4,1,158
batch08_S05,4,2,159
batch08_C07,4,1,160
batch08_S06,4,2,161
batch08_QC37,4,NA,162
batch08_C08,4,1,163
batch08_S02,4,2,164
batch08_S09,4,2,165
batch08_QC38,4,NA,166
batch08_S04,4,2,167
batch08_S08,4,2,168
batch08_C04,4,1,169
batch08_S10,4,2,170
batch08_C09,4,1,171
batch08_QC39,4,NA,172
