Order,Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2,0.031621389,6.028034401,0.352036582,0.086246923,0.935893131,0.161861146,0.161077865,0.036065237,0.211821436,0.026489193,0.144198142,0.172544241,0.654040352,0.046366177,0.106163808,0.117714759,0.014016086,0.009236181,190.6315501,11.1328627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2,0.009946103,0.093194557,0.055085058,0.047063665,0.417022987,0.027363873,0.027363873,0.004107424,0.014201593,0.011949866,0.029291106,0.093226904,0.183878606,0.01385185,0.043740322,0.068544267,0.017528397,0.01373698,9.369956957,5.538355877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,0.004623753,0.884556498,0.062442512,0.013210309,0.047752834,0.028390077,0.029388648,0.004056653,0.12899563,0.00849274,0.032001306,0.084321235,0.222678166,0.012588547,0.101710958,0.116207574,0.00797578,0.006470854,191.3070395,13.50472484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,0.021940973,7.214175408,0.503357565,0.086853428,0.256280145,1.171173938,1.171173938,0.018427277,0.771099275,0.026792422,0.084946249,0.024479009,0.433528465,0.01620231,0.044794012,0.062692985,0.029375574,0.014333064,328.7992473,22.94144225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,0.02681494,2.448818512,0.111425673,0.010786814,0.033776496,0.006855018,0.006467476,0.004056653,1.335060888,0.045881715,0.037441295,0.273727796,0.115428128,0.012693366,0.116028184,0.052086667,0.007297536,0.005780081,91.32291596,4.155357909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2,0.021419306,0.541882698,0.006319651,0.005347267,-0.004194735,0.029200282,0.029030398,0.01291724,0.238375746,0.022288058,0.033872642,0.034679611,0.053536608,0.012742988,0.034908448,0.037147489,0.005347267,0.005347267,25.2987981,0.29504462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2,0.027045017,6.553465456,0.738850374,0.12411106,0.220197343,0.101879724,0.101879724,0.025443041,0.648938771,0.020606785,0.060401476,0.09399993,0.595933222,0.026179908,0.044827538,0.052086667,0.039456191,0.020299472,242.3169287,27.31927933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2,0.019826596,0.36790466,0.010538253,0.006709286,0.998578387,0.205852643,0.205852643,0.004143301,0.087262072,0.019554163,0.032093888,0.020643783,0.34301503,0.013031731,0.063886209,0.022576303,0.005779492,0.005684758,18.55611826,0.531521044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,0.014632192,0.560764935,0.129375258,0.018026903,0.076010198,0.01611906,0.01611906,0.010422511,0.120494082,0.012971289,0.03024528,0.153984824,0.522280383,0.015356724,0.070056602,0.039080429,0.009206168,0.008683999,38.32405527,8.841823426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,0.023675967,0.436994583,0.012247741,0.009315069,0.111856105,0.090028103,0.09024938,0.013422936,0.244682294,0.02414028,0.031848043,0.022703958,0.131090757,0.012742953,0.038824439,0.023390476,0.006498458,0.005694655,18.45730664,0.517306896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
